Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
82-Tarn-et-Garonne;54097;55616;55789;55949;55959;56888;59107;59897;61147;62125;63434;64611;65270;66537;67598;68194;69617;70627;71920;71470;71903;71374;72232;72909;72782;73070;74224;76000;77540;77399
PaysdelaLoire;991511;1011179;1026760;1031213;1033673;1062138;1081751;1097789;1130172;1167920;1206917;1248039;1267860;1282689;1287675;1295041;1307996;1330311;1354997;1350866;1334636;1347578;1353988;1356254;1361233;1361427;1374192;1395899;1426707;1437145
44-Loire-Atlantique;356983;364446;371319;371032;372947;383368;389572;395658;407939;422208;439707;459404;469673;474212;477239;484616;492365;502772;517708;520818;515265;521904;529545;534465;537715;541558;549626;561092;578084;587936
49-Maine-et-Loire;225932;230109;233521;234396;234907;241723;247164;249870;255571;264324;270586;274991;279580;281698;282553;282521;282858;287730;289967;290444;287082;289558;289951;288733;288845;287376;288096;291812;294981;296602
53-Mayenne;86926;88599;89850;90705;91140;93822;96331;97682;100905;103640;105851;109425;109784;109768;109173;108445;109300;111049;111962;110099;109223;109294;108294;107938;108927;108682;109123;109570;112374;111532
72-Sarthe;171720;173630;175119;175939;174259;178057;180537;183724;187636;193713;198374;203703;204071;208401;208065;206828;206758;207177;208891;205017;202068;202972;201626;200068;199458;197463;198222;199538;201513;200168
85-Vendee;149950;154395;156951;159141;160420;165168;168147;170855;178121;184035;192399;200516;204752;208610;210645;212631;216715;221583;226469;224488;220998;223850;224572;225050;226288;226348;229125;233887;239755;240907
Provence-Alpes-Cote-dAzur;1356321;1372661;1375124;1365913;1372007;1391454;1408045;1409610;1429564;1459156;1506965;1571842;1619591;1650822;1667987;1692624;1712104;1733696;1760007;1752966;1751480;1749333;1754196;1750789;1758643;1762507;1772871;1791045;1807636;1822456
04-Alpes-de-Haute-Provence;36634;37002;36234;36394;37383;38637;39301;39546;40098;40981;41956;43726;43942;45283;45961;46264;46753;47019;47179;46711;47562;47683;47154;47190;47479;47534;47534;49248;48774;48419
05-Hautes-Alpes;36727;38211;37245;37148;38568;38758;40288;40397;40876;40946;42621;44383;45396;46790;47101;47879;48681;49278;49502;50213;49206;49277;49049;48840;49101;48732;48330;48391;48732;48316
06-Alpes-Maritimes;312628;314935;316220;312039;308944;312830;313224;315617;321084;327954;337962;353825;367607;371595;376943;380833;384594;392133;397757;395238;390172;389396;389472;387275;387066;385531;388636;392241;391963;395560
13-Bouches-du-Rhone;601009;606331;609194;601860;603905;611279;617004;615988;624264;634988;656500;683282;700713;713778;718983;728731;737630;745558;757213;755256;758901;757250;759858;760838;767672;774981;781490;790726;802377;811953
83-Var;224167;229970;230211;233589;235259;240199;243618;243953;246447;252201;260855;271759;281377;288751;292489;300448;304594;308458;314219;312707;314582;314507;315994;315217;315376;315258;315890;317787;320415;322339
84-Vaucluse;145156;146212;146020;144883;147948;149751;154610;154109;156795;162086;167071;174867;180556;184625;186510;188469;189852;191250;194137;192841;191057;191220;192669;191429;191949;190471;190991;192652;195375;195869
